"","lon","lat","pin"
"534",-77.5125381,37.5295912,"C0050227012"
"535",-77.58856,37.5456902,"C0010783008"
"536",-77.5531475,37.5461952,"C0010682024"
"537",-77.5568594,37.5524002,"C0010421014"
"538",-77.5330781,37.5535925,"C0040209006"
"539",-77.5815025,37.5581043,"C0010354014"
"540",-77.5067605,37.5332248,"C0050095002"
"541",-77.5325406,37.5542319,"C0040209010"
"542",-77.5879444,37.550022,"C0010566002"
"543",-77.5896344,37.5528563,"C0010567028"
"544",-77.584486,37.5528827,"C0010527008"
"545",-77.5853366,37.5363267,"C0011260046"
"546",-77.5333356,37.5413116,"C0040693024"
"547",-77.5868767,37.5421705,"C0010958004"
"548",-77.5857395,37.553713,"C0010527028"
"549",-77.4123485,37.5312857,"E0000574006"
"550",-77.4199037,37.5384522,"E0000327027"
"551",-77.4135338,37.5413494,"E0000558026"
"552",-77.4164608,37.5286702,"E0000532007"
"553",-77.4758214,37.4796341,"C0080390014"
"554",-77.472925,37.491044,"C0060370026"
"555",-77.42252,37.560056,"N0000507017"
"556",-77.4132925,37.5331658,"E0000480014"
"557",-77.4256015,37.5332563,"E0000163017"
"558",-77.4286015,37.533924,"E0000107016"
"559",-77.4452743,37.5203365,"S0000119016"
"560",-77.4383996,37.5452109,"N0000038017"
"561",-77.4397587,37.5432985,"W0000036020"
"562",-77.4304378,37.5381882,"W0000615024"
"563",-77.4417682,37.543844,"W0000063003"
"564",-77.4438353,37.546441,"W0000127001"
"565",-77.4338418,37.543736,"N0000077012"
"566",-77.4484669,37.5371332,"W0000136001"
"567",-77.425875,37.532133,"E0000164021"
"568",-77.474943,37.556501,"W0001286001"
"569",-77.4416429,37.5218046,"S0000081001"
"570",-77.4675447,37.5621268,"N0001396024"
"571",-77.4720574,37.5571421,"W0001206010"
"572",-77.4293933,37.5401744,"E0000208020"
"573",-77.452619,37.5902233,"N0002274015"
"574",-77.4681864,37.5597544,"W0001169012"
"575",-77.5112808,37.5769104,"W0200089011"
"576",-77.5303849,37.5897835,"W0210124011"
"577",-77.4878125,37.5215781,"S0060296013"
"578",-77.466471,37.4898704,"N0001781025"
"579",-77.4674741,37.5522121,"W0000998010"
"580",-77.4873784,37.5593617,"W0001655002"
"581",-77.428301,37.541285,"E0000208009"
"582",-77.429928,37.541709,"E0000237016"
"583",-77.4522099,37.548067,"W0000355023"
"584",-77.428878,37.5412685,"E0000208019"
"585",-77.455212,37.5440029,"W0000335001"
"586",-77.448938,37.548834,"W0000359015"
"587",-77.5449246,37.5755345,"W0230005019"
"588",-77.4532072,37.5511507,"W0000482027C"
"589",-77.4164409,37.5283638,"E0000532012"
"590",-77.4104372,37.5376157,"E0000520010"
